肖申克的救赎,导演: 弗兰克·德拉邦特 Frank Darabont,1994
霸王别姬,导演: 陈凯歌 Kaige Chen,1993
泰坦尼克号,导演: 詹姆斯·卡梅隆 James Cameron,1997
阿甘正传,导演: 罗伯特·泽米吉斯 Robert Zemeckis,1994
千与千寻,导演: 宫崎骏 Hayao Miyazaki,2001
美丽人生,导演: 罗伯托·贝尼尼 Roberto Benigni,1997
这个杀手不太冷,导演: 吕克·贝松 Luc Besson,1994
星际穿越,导演: 克里斯托弗·诺兰 Christopher Nolan,2014
盗梦空间,导演: 克里斯托弗·诺兰 Christopher Nolan,2010
楚门的世界,导演: 彼得·威尔 Peter Weir,1998
辛德勒的名单,导演: 史蒂文·斯皮尔伯格 Steven Spielberg,1993
忠犬八公的故事,导演: 莱塞·霍尔斯道姆 Lasse Hallström,2009
海上钢琴师,导演: 朱塞佩·托纳多雷 Giuseppe Tornatore,1998
三傻大闹宝莱坞,导演: 拉库马·希拉尼 Rajkumar Hirani,2009
疯狂动物城,导演: 拜伦·霍华德 Byron Howard / 瑞奇·摩尔 Rich Moore,2016
放牛班的春天,导演: 克里斯托夫·巴拉蒂 Christophe Barratier,2004
机器人总动员,导演: 安德鲁·斯坦顿 Andrew Stanton,2008
无间道,导演: 刘伟强 / 麦兆辉,2002
控方证人,导演: 比利·怀尔德 Billy Wilder,1957
大话西游之大圣娶亲,导演: 刘镇伟 Jeffrey Lau,1995
熔炉,导演: 黄东赫 Dong-hyuk Hwang,2011
触不可及,导演: 奥利维·那卡什 Olivier Nakache / 艾力克·托兰达 Eric Toledano,2011
寻梦环游记,导演: 李·昂克里奇 Lee Unkrich / 阿德里安·莫利纳 Adrian Molina,2017
教父,导演: 弗朗西斯·福特·科波拉 Francis Ford Coppola,1972
当幸福来敲门,导演: 加布里尔·穆奇诺 Gabriele Muccino,2006
末代皇帝,导演: 贝纳尔多·贝托鲁奇 Bernardo Bertolucci,1987
哈利·波特与魔法石,导演: Chris Columbus,2001
龙猫,导演: 宫崎骏 Hayao Miyazaki,1988
怦然心动,导演: 罗伯·莱纳 Rob Reiner,2010
活着,导演: 张艺谋 Yimou Zhang,1994
蝙蝠侠：黑暗骑士,导演: 克里斯托弗·诺兰 Christopher Nolan,2008
指环王3：王者无敌,导演: 彼得·杰克逊 Peter Jackson,2003
我不是药神,导演: 文牧野 Muye Wen,2018
乱世佳人,导演: 维克多·弗莱明 Victor Fleming / 乔治·库克 George Cukor,1939
飞屋环游记,导演: 彼特·道格特 Pete Docter / 鲍勃·彼德森 Bob Peterson,2009
让子弹飞,导演: 姜文 Wen Jiang,2010
哈尔的移动城堡,导演: 宫崎骏 Hayao Miyazaki,2004
十二怒汉,导演: 西德尼·吕美特 Sidney Lumet,1957
素媛,导演: 李濬益 Jun-ik Lee,2013
海蒂和爷爷,导演: 阿兰·葛斯彭纳 Alain Gsponer,2015
猫鼠游戏,导演: 史蒂文·斯皮尔伯格 Steven Spielberg,2002
天空之城,导演: 宫崎骏 Hayao Miyazaki,1986
鬼子来了,导演: 姜文 Wen Jiang,2000
摔跤吧！爸爸,导演: 涅提·蒂瓦里 Nitesh Tiwari,2016
少年派的奇幻漂流,导演: 李安 Ang Lee,2012
钢琴家,导演: 罗曼·波兰斯基 Roman Polanski,2002
指环王2：双塔奇兵,导演: 彼得·杰克逊 Peter Jackson,2002
死亡诗社,导演: 彼得·威尔 Peter Weir,1989
大话西游之月光宝盒,导演: 刘镇伟 Jeffrey Lau,1995
何以为家,导演: 娜丁·拉巴基 Nadine Labaki,2018
闻香识女人,导演: 马丁·布莱斯 Martin Brest,1992
绿皮书,导演: 彼得·法雷里 Peter Farrelly,2018
大闹天宫,导演: 万籁鸣 Laiming Wan,1961(中国大陆) / 1964(中国大陆) / 1978(中国大陆)
黑客帝国,导演: 安迪·沃卓斯基 Andy Wachowski / 拉娜·沃卓斯基 Lana Wachowski,1999
指环王1：护戒使者,导演: 彼得·杰克逊 Peter Jackson,2001
罗马假日,导演: 威廉·惠勒 William Wyler,1953
教父2,导演: 弗朗西斯·福特·科波拉 Francis Ford Coppola,1974
狮子王,导演: Roger Allers / 罗伯·明可夫 Rob Minkoff,1994
天堂电影院,导演: 朱塞佩·托纳多雷 Giuseppe Tornatore,1988
饮食男女,导演: 李安 Ang Lee,1994
辩护人,导演: 杨宇硕 Woo-seok Yang,2013
本杰明·巴顿奇事,导演: 大卫·芬奇 David Fincher,2008
搏击俱乐部,导演: 大卫·芬奇 David Fincher,1999
美丽心灵,导演: 朗·霍华德 Ron Howard,2001
穿条纹睡衣的男孩,导演: 马克·赫尔曼 Mark Herman,2008
情书,导演: 岩井俊二 Shunji Iwai,1995
两杆大烟枪,导演: 盖·里奇 Guy Ritchie,1998
哈利·波特与死亡圣器(下),导演: 大卫·叶茨 David Yates,2011
